raw_data
5771
3531
3528
3556
3577
3556
3531
3581
3556
3630
3556
3553
3556
3605
3532
3531
3556
3580
2358
3531
3532
3482
3482
3556
3531
3580
3556
3531
3532
3531
3629
3556
3507
3556
3531
3557
3556
3556
3557
3556
3531
3531
3556
3580
3580
3552
3580
3580
3528
3528
3531
3604
3506
3507
3556
3531
3604
5771
3555
3507
3482
3506
3531
3532
3557
3581
3605
3532
3531
3532
3557
3531
3553
3507
3531
3531
3506
3507
3507
3507
3482
3506
3532
3507
3482
3507
3506
3506
3507
3507
3483
3555
3531
3507
3506
3506
3556
3531
3532
3507
